觀測時間,測站氣壓,海平面氣壓,氣溫,露點溫度,相對溼度,風速,風向,最大陣風,最大陣風風向,降水量,降水時數,日照時數,全天空日射量,能見度,紫外線指數,總雲量
2010-06-01-01,1008.5,1009.3,21,16.4,75,4.5,60,8.2,60,0,0,N/A,0,N/A,0,N/A
2010-06-01-02,1008.6,1009.4,20.9,16.8,77,2.6,70,8,50,0,0,N/A,0,8,0,7
2010-06-01-03,1008.7,1009.5,20.8,17.1,79,1.6,100,8.3,60,0,0,N/A,0,N/A,0,N/A
2010-06-01-04,1008.9,1009.7,19.9,15.6,76,1.6,150,4.4,100,0,0,N/A,0,N/A,0,N/A
2010-06-01-05,1009,1009.8,19.5,14.5,73,1.7,140,3.8,160,0,0,N/A,0,12,0,5
2010-06-01-06,1009.6,1010.4,19.7,15.2,75,1.6,140,2.9,150,0,0,0.2,0.05,N/A,0,N/A
2010-06-01-07,1009.8,1010.6,21.2,16,72,0.8,170,3.9,130,0,0,0.6,0.57,N/A,0,N/A
2010-06-01-08,1010.2,1011,24.1,19,73,3.9,60,9.2,70,0,0,0.9,1.05,10,2,5
2010-06-01-09,1010.5,1011.2,25.3,18.5,66,2,30,8.6,70,0,0,0.8,1.58,10,3,6
2010-06-01-10,1009.9,1010.6,26.1,19,65,4.3,30,8.7,30,0,0,0.9,2.02,N/A,5,3
2010-06-01-11,1009.7,1010.4,26.5,18.1,60,5.5,60,9.6,70,0,0,1,2.92,10,8,3
2010-06-01-12,1009.6,1010.3,26.3,18.2,61,4.4,60,10.6,80,0,0,1,3,N/A,9,4
2010-06-01-13,1009,1009.7,25.9,17.9,61,6.8,60,13,50,0,0,1,3,N/A,9,4
2010-06-01-14,1008.6,1009.3,25.5,17.7,62,6.3,60,13.7,60,0,0,0.9,2.39,10,7,8
2010-06-01-15,1008.7,1009.4,24.3,17.5,66,5.1,50,14.3,80,0,0,0.6,1.56,N/A,4,8
2010-06-01-16,1009,1009.7,24.2,17.2,65,5.1,60,14.6,70,0,0,0.1,1.17,N/A,3,9
2010-06-01-17,1008.8,1009.6,23.3,16.7,66,6.8,60,13.3,60,0,0,0.1,0.61,10,1,9
2010-06-01-18,1009.2,1010,23,16.9,69,6.4,60,13.7,60,0,0,0,0.03,N/A,0,N/A
2010-06-01-19,1009.6,1010.4,22.7,17,70,5.9,60,12.9,60,0,0,0,0,N/A,0,N/A
2010-06-01-20,1010.5,1011.3,22.6,17.3,72,6.2,60,11.3,60,0,0,N/A,0,10,0,9
2010-06-01-21,1011,1011.8,22.7,17.2,71,4.6,60,11.1,60,0,0,N/A,0,10,0,9
2010-06-01-22,1011.3,1012.1,22.5,17,71,5,70,11.3,60,0,0,N/A,0,N/A,0,N/A
2010-06-01-23,1010.8,1011.6,22.4,17.1,72,5.3,60,10.4,60,0,0,N/A,0,10,0,9
2010-06-01-24,1010.7,1011.5,22.3,17.3,73,5.7,60,11,80,0,0,N/A,0,N/A,0,N/A
2010-06-02-01,1010.3,1011.1,22.3,17.3,73,5.7,70,10.4,60,0,0,N/A,0,N/A,0,N/A
2010-06-02-02,1009.8,1010.6,22.2,17.6,75,4.8,60,10,60,0,0,N/A,0,10,0,9
2010-06-02-03,1009.6,1010.4,22.2,17.7,76,3.7,70,10,50,0,0,N/A,0,N/A,0,N/A
2010-06-02-04,1009.8,1010.6,22.3,17.8,76,4.3,60,9.2,70,0,0,N/A,0,N/A,0,N/A
2010-06-02-05,1010.2,1011,22.3,17.8,76,3.8,70,9.7,70,0,0,N/A,0,10,0,10
2010-06-02-06,1010.5,1011.3,22,17.7,77,4.4,60,8.9,60,0,0,0,0,N/A,0,N/A
2010-06-02-07,1011.1,1011.9,22,18.5,81,4.3,60,9.9,60,0,0,0,0,N/A,0,N/A
2010-06-02-08,1011.6,1012.4,22.6,18.7,79,3.4,80,8.3,70,0,0,0,0.1,9,0,10
2010-06-02-09,1011.7,1012.5,23.1,18.5,75,4.3,60,8.8,20,0,0,0,0.6,9,1,10
2010-06-02-10,1012,1012.8,22.8,18,74,4.3,50,9.7,70,T,0.1,0,0.29,N/A,1,10
2010-06-02-11,1011.7,1012.5,22.7,18.3,76,4.3,60,10.9,60,0.1,1,0,0.57,8,2,10
2010-06-02-12,1011.4,1012.2,23,18.3,75,5.8,60,13.3,60,T,1,0,0.91,N/A,3,10
2010-06-02-13,1010.8,1011.6,22.4,18.2,77,3.8,60,12.4,70,T,1,0,0.62,N/A,2,10
2010-06-02-14,1010.8,1011.6,22,18.8,82,5.8,60,12.4,80,T,1,0,0.72,8,3,10
