芠代丁,代溃,キ溃,放,臩翴放,癸访,硉,,程皚,程皚,秖,计,ら酚计,ぱら甮秖,ǎ,档絬计,羆冻秖
2010-07-01-01,1006.5,1007.2,28.7,25.3,82,1.2,140,2.9,170,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-01-02,1006.6,1007.3,28.3,25.4,84,1.0,170,2.4,150,0.0,0.0,N/A,0.00,10.0,0,2.0
2010-07-01-03,1006.6,1007.3,27.8,24.9,84,0.1,0,3.0,140,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-01-04,1006.4,1007.1,27.8,24.8,84,1.1,160,2.4,170,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-01-05,1006.8,1007.5,27.5,24.0,81,0.9,160,3.3,160,0.0,0.0,N/A,0.00,10.0,0,5.0
2010-07-01-06,1007.2,1007.9,27.6,24.4,83,0.8,190,3.1,160,0.0,0.0,0.0,0.00,N/A,0,N/A
2010-07-01-07,1007.9,1008.6,28.2,24.7,81,0.4,200,2.1,160,0.0,0.0,0.0,0.22,N/A,0,N/A
2010-07-01-08,1008.4,1009.1,29.8,25.3,77,1.6,260,3.6,270,0.0,0.0,0.1,0.70,10.0,1,8.0
2010-07-01-09,1007.8,1008.5,30.9,25.6,73,1.6,250,5.1,270,0.0,0.0,0.3,1.09,10.0,3,8.0
2010-07-01-10,1007.6,1008.3,32.3,25.5,67,1.5,260,6.4,270,0.0,0.0,0.5,1.60,N/A,5,8.0
2010-07-01-11,1007.5,1008.2,32.9,25.3,64,2.4,220,7.0,280,0.0,0.0,0.1,1.62,12.0,6,9.0
2010-07-01-12,1007.2,1007.9,33.0,26.7,70,2.2,280,6.0,240,0.0,0.0,0.0,0.93,N/A,4,9.0
2010-07-01-13,1006.0,1006.7,33.0,26.9,70,2.1,250,6.6,240,0.0,0.0,0.0,1.40,N/A,5,9.0
2010-07-01-14,1005.4,1006.1,33.0,26.6,69,2.9,290,6.8,290,0.0,0.0,0.0,0.86,10.0,4,9.0
2010-07-01-15,1005.5,1006.2,32.4,26.5,71,2.3,290,7.6,300,0.0,0.0,0.1,1.04,N/A,3,9.0
2010-07-01-16,1005.3,1006.0,32.3,26.2,70,2.3,260,6.3,300,0.0,0.0,0.0,0.58,N/A,1,10.0
2010-07-01-17,1005.5,1006.2,32.2,26.2,71,0.5,260,5.2,270,0.0,0.0,0.0,0.40,10.0,1,10.0
2010-07-01-18,1005.4,1006.1,31.9,25.6,69,0.6,V,3.9,300,0.0,0.0,0.0,0.05,N/A,0,N/A
2010-07-01-19,1005.5,1006.2,31.5,25.7,71,1.8,260,3.5,270,0.0,0.0,0.0,0.00,N/A,0,N/A
2010-07-01-20,1005.4,1006.1,31.1,25.7,73,0.3,210,4.0,290,0.0,0.0,N/A,0.00,10.0,0,9.0
2010-07-01-21,1005.9,1006.6,30.8,25.8,75,1.4,250,2.8,210,0.0,0.0,N/A,0.00,10.0,0,7.0
2010-07-01-22,1005.8,1006.5,30.0,25.8,78,1.3,210,2.5,210,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-01-23,1005.5,1006.2,29.6,25.6,79,0.8,190,2.5,220,0.0,0.0,N/A,0.00,10.0,0,7.0
2010-07-01-24,1005.3,1006.0,29.4,25.9,82,0.5,200,2.3,170,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-02-01,1005.2,1005.9,28.8,25.5,82,0.8,200,2.6,140,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-02-02,1004.9,1005.6,28.5,25.3,83,0.8,90,2.1,120,0.0,0.0,N/A,0.00,7.0,0,9.0
2010-07-02-03,1004.7,1005.4,28.1,25.0,83,0.5,150,1.8,150,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-02-04,1005.0,1005.7,28.1,24.3,80,0.8,160,2.6,150,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-02-05,1005.2,1005.9,27.6,24.1,81,0.5,160,2.5,150,0.0,0.0,N/A,0.00,8.0,0,7.0
2010-07-02-06,1005.7,1006.4,27.9,24.0,79,0.7,150,1.8,150,0.0,0.0,0.0,0.00,N/A,0,N/A
2010-07-02-07,1006.0,1006.7,28.9,24.5,77,0.8,200,5.0,280,0.0,0.0,0.6,0.48,N/A,0,N/A
2010-07-02-08,1006.0,1006.7,31.2,25.8,73,1.0,310,6.0,260,0.0,0.0,0.6,1.07,8.0,2,5.0
2010-07-02-09,1005.9,1006.6,31.9,25.5,69,3.5,250,7.9,250,0.0,0.0,0.6,1.45,8.0,3,8.0
2010-07-02-10,1005.7,1006.4,32.9,26.0,67,2.8,220,6.5,270,0.0,0.0,0.3,1.32,N/A,4,7.0
2010-07-02-11,1005.0,1005.7,34.2,25.8,62,2.5,260,6.8,210,0.0,0.0,0.8,2.31,13.0,8,7.0
2010-07-02-12,1004.5,1005.2,34.3,26.1,62,2.8,220,9.6,200,0.0,0.0,0.3,1.60,N/A,7,8.0
2010-07-02-13,1003.9,1004.6,36.3,26.4,57,2.3,270,8.4,270,0.0,0.0,0.8,2.31,N/A,8,8.0
2010-07-02-14,1003.6,1004.3,35.0,25.9,59,2.0,300,9.1,280,0.0,0.0,0.5,1.70,18.0,6,8.0
2010-07-02-15,1003.5,1004.2,35.4,26.5,60,1.4,270,7.5,290,0.0,0.0,1.0,1.83,N/A,5,8.0
2010-07-02-16,1003.6,1004.3,34.3,25.8,61,1.2,280,7.5,290,0.0,0.0,0.1,1.18,N/A,3,8.0
2010-07-02-17,1003.6,1004.3,33.7,25.1,61,1.6,300,6.0,270,0.0,0.0,0.6,0.76,18.0,1,8.0
2010-07-02-18,1003.6,1004.3,33.0,25.1,63,0.5,240,6.0,290,0.0,0.0,0.3,0.52,N/A,0,N/A
2010-07-02-19,1003.9,1004.6,32.6,25.1,65,0.5,V,4.6,260,0.0,0.0,0.0,0.00,N/A,0,N/A
2010-07-02-20,1004.4,1005.1,31.5,25.9,72,2.4,60,5.1,80,0.0,0.0,N/A,0.00,15.0,0,7.0
2010-07-02-21,1004.4,1005.1,30.9,25.7,74,1.4,30,3.5,50,0.0,0.0,N/A,0.00,15.0,0,4.0
2010-07-02-22,1005.0,1005.7,30.9,24.8,70,0.7,350,3.9,20,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-02-23,1005.4,1006.1,30.0,24.5,72,0.5,330,3.5,350,0.0,0.0,N/A,0.00,15.0,0,4.0
2010-07-02-24,1005.3,1006.0,29.8,24.6,74,0.3,V,2.9,270,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-03-01,1005.2,1005.9,29.7,24.5,74,0.4,220,3.0,260,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-03-02,1005.0,1005.7,29.4,24.5,75,1.6,230,3.3,260,0.0,0.0,N/A,0.00,12.0,0,6.0
2010-07-03-03,1005.0,1005.7,29.1,23.7,73,1.2,280,3.9,280,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-03-04,1004.5,1005.2,28.5,23.9,76,0.9,260,4.1,270,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-03-05,1004.8,1005.5,28.2,23.9,78,1.1,250,2.3,260,0.0,0.0,N/A,0.00,12.0,0,3.0
2010-07-03-06,1005.4,1006.1,28.3,24.0,78,1.4,130,2.2,150,0.0,0.0,0.0,0.02,N/A,0,N/A
2010-07-03-07,1005.9,1006.6,29.2,24.6,76,1.0,110,2.7,110,0.0,0.0,0.7,0.65,N/A,0,N/A
2010-07-03-08,1006.0,1006.7,31.5,23.4,62,2.5,270,6.6,250,0.0,0.0,0.7,1.36,15.0,2,7.0
